ID,微博内容
76,【光明新区山体滑坡 13名伤员入院救治】@深圳市应急管理办公室：截至16时30分，共出车16台次，入院治疗共13人，其中重伤3人、轻伤10人。光明新区中心医院收治9人（轻伤），光明新区人民医院收治4人（3重1轻），均生命体征平稳，省、市专家组已在现场指导医疗救治工作。 ????????
77,【车友请给救援、抢险的车辆让出通道】光明新区柳溪工业园山体滑坡现场周边道路 @深圳交警 已实施交通管制，提醒各位车友服从现场交警指挥，给救援、抢险的车辆让出通道。 ????????
78,【光明新区山体滑坡 将召开新闻发布会】据现场救援指挥部消息：将在17：15召开新闻发布会，敬请关注！ ????????
79,【光明新区山体滑坡 22栋厂房被埋】@光明发布 ：经初步核查滑坡事故共造成22栋厂房被掩埋，涉及公司15家。截至发稿，现场已安全撤离约900人，尚有22人未取得联系，救出被困人员4人，其中3人轻伤，暂无生命危险；另1人未受伤。目前消防、特警、卫生等近1500人，正全面开展搜救工作；准确人数在核实中。 ????????
80,【山体滑坡前已组织人员撤离】20日11点40分光明新区山体滑坡导致公明光明两个街道红勘社区部分厂房倒塌，现场救援指挥部已成立，@深圳公安 按照深圳市委市政府部署正组织消防、特警及相关技术部门700余人用生命探测搜索救援。指挥部消息称初步调查滑坡前大部分人员已撤出，但不排除部分人员尚未撤离。 ????????
81,#突发# 光明新区柳溪工业园山体滑坡现场周边长凤路 @深圳交警 已实施交通管制，提醒各位车友可绕行光侨路通行。
82,【光明新区山体滑坡 已经救出7人】@光明发布 :深圳市和光明新区立即启动救援应急预案，成立现场救援指挥部，组织疏散人员开展救援工作。@深圳消防铁军 救援续报:目前消防已救出7人（1人轻伤，6人正常），已确定第8名被困者位置正在施救。搜救犬分队、生命探测仪等救援装备到场。东莞消防已到场增援。 ????????
83,【光明新区山体滑坡 各方全力救援】在北京开会的广东省委副书记、深圳市委书记马兴瑞和市长许勤已中断会议赶回深圳。马书记批示要求组织各方力量实施救援，防止次生灾害发生，许市长批示第一时间全力解救被困人员，救治受伤人员。市委常委、常务副市长张虎，副市长、公安局长刘庆生到达现场指挥救援。 ????????
84,【光明新区山体滑坡 20栋厂房倒塌】@深圳公安 :20日11时42分，光明新区长圳红坳村凤凰社区宝泰园附近山坡垮塌，导致煤气站爆炸，20栋厂房倒塌，多人被困，伤亡尚无法估计。公安消防已赶赴现场开展抢救工作。市领导指示光明新区、卫计委全力救援，住建局调动机械设备全力支持。公安交警疏导现场交通。 ????????
85,【光明红坳山体滑坡 紧急停电】为配合政府部门对光明红坳山体滑坡的救援，@深圳供电 对3条线路实行紧急停电，影响光明新区光明街道塘家社区、长圳工业区、红坳恒泰裕工业园、红坳村一带，请受影响的小伙伴多多理解 ????????
86,#突发#【配合救援 光明新区光明街道紧急停电通知】@深圳供电：为配合政府部门对光明红坳山体滑坡的救援，我们对3条线路实行紧急停电，影响光明新区光明街道塘家社区、长圳工业区、红坳恒泰裕工业园、红坳村一带，请受影响的小伙伴多多理解
87,【浙江丽水山体滑坡 救援官兵席地睡高速隧道】13日22时50分许，浙江丽水莲都区雅溪镇里东村发生山体滑坡，为争取救援时间，武警丽水支队官兵们徒手挖开废墟，轮休下来的几十名官兵因超负荷运作，14日晚在事故现场附近的高速公路隧道里席地而睡。O浙江丽水山体滑坡现场：救援武警官兵席地睡高...你们辛苦了！转发致敬！（人民日报） ????????
88,#光明山体滑坡# 【生命的握手】12月23日，在深圳滑坡事故现场，参与救援的武警水电部队官兵罗星星拉着首位幸存者田泽明的手，鼓励他坚持下去（手机拍摄）。新华社发（廖志斌 摄） ????????
89,//@深圳商报:快讯：从事故救援指挥部获悉，22日清晨6时许，深圳滑坡事故现场挖出第一具遇难者遗体。 via新华社 #柳溪工业园山体滑坡##深圳山体滑坡#
90,#深圳山体滑坡#【必看！遭遇山体滑坡如何自救？】深圳光明长圳洪浪村煤气站旁山体滑坡，造成约20栋建筑被埋压，波及面积1万余平方米，目前仍多人失联别以为不去野外就不会遭遇山体滑坡，山体滑坡时如何自救？立即收藏！ ????????
91,【山体滑坡失联人数下降为85人】//@深圳市应急管理办公室: 【山体滑坡失联人数下降为85人】@光明发布 ： 截至21日下午6时，接报失联人数下降为85人，现场救出被困人员7人，住院救治伤员16人，生命体征平稳，安排居住600人，安全疏散900人。
92,#深圳山体滑坡#群众体育中心安置点内随处可见义工的身影，发放食物、整理被褥、维持秩序。辛苦了！ ????????
93,#深圳山体滑坡# 现场直击：在滑坡现场的东侧，疑似有生命迹象的一栋倒塌的建筑里，受滑坡压力的影响，该建筑每层楼板的距离只有50公分左右。消防员在这狭小的空间里，用液压破拆工具，在大型挖掘机的协助下破拆，并利用生命探测仪逐层探测、搜寻。via@广东消防 ????????
94,#深圳山体滑坡#【挖出六米大坑 生命探测仪显示有非常微弱信号】通过两个多小时的挖掘，救援人员已挖出一个六米深左右的大坑，有生命探测仪显示有非常微弱的信号，由于梁柱埋在七八米深的厚泥中，两边压力很大，没有支撑点，人工破拆非常困难，改为机械手段进行挖掘。 @深圳特区报 ????????
95,#深圳山体滑坡#失联人数上升至91人，救援仍在紧张的进行中。向逆行者们致敬！望失联人平安！ ????????
96,#光明山体滑坡#【失联人数上升至59人】据深圳市应急办负责人通报，经初步核查，此次灾害共造成33栋建筑物被掩埋或不同程度损坏，其中厂房14栋，办公楼2栋，饭堂1间，宿舍3栋，其他低矮建筑物13间。截止当日22时，共有59人失联，其中男性36人，女性23人。@深圳晚报
97,【习近平和李克强对深圳山体滑坡救援作指示】习近平做出重要指示，要求深圳市迅速组织力量开展抢险救援，第一时间抢救被困人员，尽最大努力减少人员伤亡，做好伤员救治，伤亡人员家属安抚等善后工作。李克强就抢险救援工作作出批示。O习近平对深圳山体滑坡作指示 ????????
98,光明新区山体滑坡14名伤员入院救治//@深圳公安: 【光明新区山体滑坡14名伤员入院救治】@健康深圳：今天上午光明新区发生山体滑坡房屋倒塌，接报后“120”立即调派光明新区中心医院、光明新区人民医院等多家医疗机构出诊。截至17时15分，共出车16台次，入院治疗共14人，均是轻伤
99,//@深圳公安: 现场救援指挥部就光明新区山体滑坡事件召开新闻发布会，通报相关情况。
100,光明新区柳溪工业园山体滑坡现场周边长凤路 @深圳交警 已实施交通管制，提醒各位车友可绕行光侨路通行。
101,#深圳山体滑坡#两栋被埋楼房是宿舍
102,【光明新区山体滑坡 20栋厂房倒塌】@深圳公安 :20日11时42分，光明新区长圳红坳村凤凰社区宝泰园附近山坡垮塌，导致煤气站爆炸，20栋厂房倒塌，多人被困，伤亡尚无法估计。
