序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
76,"
                                                                                                    【《一个陌生女人的来信》昆明上演】持续两个小时一人演出，作为台上唯一的女主角，黄湘丽究竟怎样掌控舞台，演绎出茨威格的经典作品《一个陌生女人的来信》，把孟京辉的荒诞风格进行到底呢？上周末，这场令无数昆明剧迷期待的演出在云南艺术学院实验剧场别具一格的舞台上上演。O《一个陌生女人的来信》昆明上演 品味一个女... ​​​​                                            ", 2014-4-28 13:00,7,5,4,人民微管家,B1OhjuXNN
77,"
                                                                                                    【云南集中销毁80多万非法出版物】24日，2014年全国侵权盗版制品及非法出版物集中销毁活动“云南主场”在昆明世博园广场举行，同时开展了拒绝盗版“绿书签行动”。此次活动是集中销毁最近一年来全省各地“扫黄打非”所查缴的侵权盗版制品及非法出版物，计818653册（张、盘）。O云南集中销毁80多万非法出版物 ​​​​                                            ", 2014-4-28 12:00,3,1,3,人民微管家,B1NSYa0Er
78,"
                                                                                                    【昆明地铁已有31辆列车上线运行】昆明地铁1、2号线首期工程目前共有31列地铁车辆上线。通过位于大梨园车场信号楼控制中心的综合监控平台，列车在运行过程中的正点率、运行图兑现率、列车火警、是否故障等情况都能被实时监控，以保障列车安全运行。O已有31辆列车上线运行 ​​​​                                            ", 2014-4-28 11:00,7,6,4,人民微管家,B1NuByMGl
79,"
                                                                                                    【云南32个家庭入选全国“书香之家”】2013年3月，国家新闻出版广电总局面向全国启动首届全国“书香之家”推荐、评选，历经一年多的层层选拔推荐、专家集中评议、面向社会公示等程序，最终全国有996个家庭荣获首届全国“书香之家”称号，云南全省有32个家庭入选。O网页链接 ​​​​                                            ", 2014-4-28 10:30,7,4,4,人民微管家,B1NiqBdhp
80,"
                                                                                                    两个人的大理，别样的浪漫！                                            ", 2014-4-28 10:08,-1,13,12,360安全浏览器,B1N9t5Hdz
81,"
                                                                                                    【劳模和先进人物做客云南日报  畅谈劳动创造美】4月27日,云南省总工会和云南日报报业集团合作开展的“劳动创造美·我与深化改革同行”座谈会在昆明举行，此次座谈会共邀请了17位劳动模范、先进人物参加，和省级相关领导一起做客云南日报编辑部，面对面交流畅谈。O劳模和先进人物做客云南日报编辑部 畅谈劳动... ​​​​                                            ", 2014-4-28 10:00,2,评论,赞,人民微管家,B1N6fCXDk
82,"
                                                                                                                                                ", 2014-4-28 09:56,15,3,1,360安全浏览器,B1N4BmtFc
83,"
                                                                                                    【一季度我省居民人均可支配收入同比增长11%】记者近日从国家统计局云南调查总队获悉，一季度云南居民人均可支配收入3496元，同比增长11%，其中城镇常住居民人均可支配收入6418元，同比增长10.5%；农村常住居民人均可支配收入1795元，同比增长11.5%。O人均可支配收入同比增长11%据@云南日报 ​​​​                                            ", 2014-4-28 09:00,2,1,1,人民微管家,B1MHUfYso
84,"
                                                                                                    【分享 云南之美】河上妆成一抹胭脂的薄媚。东篱把酒黄昏后，有暗香盈袖。——腾冲和顺古镇。据@云南旅游美图美博  ​​​​                                            ", 2014-4-27 22:01,16,7,9,人民微管家,B1IoqmmIY
85,"
                                                                                                    高原上宁静的蓝宝石！ //@云南指南:#今年你最想去的城市# 醉美泸沽湖，读你百遍也不厌倦！#最旅行# @微博云南@云南旅游必读 @                                            ", 2014-4-27 21:37,20,7,151,360安全浏览器,B1IexczB9
