ID,微博内容
79,#江苏播报#【江苏省将全程监管2亿元生活补助金资金分配】盐城特大龙卷风冰雹灾害发生后，中央和省级共下达自然灾害生活补助资金2亿元，这笔钱如何分配监管？省财政厅、民政厅、审计厅已对救助资金分配使用进行全程跟踪，并将及时向社会公示，主动接受纪检监察和各界监督，确保资金使用公正有效安全。 ????????
80,#江苏播报#【省内向盐城灾区发放三个月过渡期生活救助金】7月1日上午从省民政厅获悉，在6.23盐城龙卷风冰雹特大灾害中受伤住院的800多人中，已有147人陆续出院。为保障受灾群众基本生活，按照救急难制度，江苏正组织发放三个月的过渡期生活救助金，具体按照当地经济发展水平确定一定标准发放。 ????????
81,#身边感动#【龙卷风来袭，他用身体护住妻子】23日，盐城阜宁遭遇龙卷风，一男子被压在废墟下，身下还蜷着他的妻子，夫妻双双遇难。天灾肆虐的一瞬间，他用自己的身体与臂膀，为妻子遮灾挡难。丈夫叫韦其龙，妻子叫李桂兰。村民说，“住了几十年，从没见他俩吵过嘴” ????????
82,#江苏播报#【江苏省部署救灾款物跟踪审计】为确保“6·23”盐城龙卷风冰雹特别重大灾害救灾款物规范募集、有效使用，回应社会关切， 省审计厅27日部署开展盐城龙卷风冰雹特别重大灾害救灾款物跟踪审计，要求全省各级审计机关高度重视，全力以赴做好对救灾款物的审计 工作。 ????????
83,【无锡八旬老人捐款万元，只愿留名“共产党员”】#党在我心中#25日下午，一位衣着朴素年过八旬的老人来到无锡市慈善总会，现场向盐城龙卷风冰雹灾区捐赠一万元。老人说，这些钱是自己防老防病的，但现在灾区人民更需要。老人不愿意透露自己的信息，仅在票据上留名——共产党员。#我身边的好党员# ????????
84,#江苏盐城龙卷风冰雹#【江苏3500多警力、1200多消防队员赶赴灾区 展开无死角搜救】#党在我心中#风灾无情，人间有爱。省公安厅调集3500名民警赴灾区救援。消防总队调集1226名消防官兵在受灾严重村庄开展地毯式、无死角搜救，到6月24日下午已搜救被困人员94人。 °江苏3500多警力、1200多消防队员赶赴灾区 展... ????????
85,#江苏盐城龙卷风冰雹#【伤者转运及时 跑赢死神】昨天下午，阜宁、射阳等地的强对流灾害天气发生后，一些伤者被转运到了盐城的第一人民医院和第三人民医院，那里的抢救室，成了昨晚最忙碌的科室！紧急情况下，医院整个病区的主要科室都被安排在了急救室，方便对病人进行集中救治。脑外科、骨科、骨外科 ????????...展开全文c
86,#江苏盐城龙卷风冰雹#【盐城阜宁、射阳“6﹒23”龙卷风最新受灾情况通报】24日中午12：10，盐城市救灾指挥部召开新闻发布会，通报盐城阜宁、射阳“6﹒23”龙卷风受灾情况。截至24日8点，灾害共造成98人遇难、医院收治伤员846人。阜宁县倒塌损坏房屋8004户28104间，2所小学房屋受损，损毁厂房8幢，毁坏 ????????...展开全文c
87,#江苏盐城龙卷风冰雹#【罗志军向全省广大党员发出号召：把党旗插在受灾最严重地方】#党在我心中#广大党员干部要把党旗插在受灾最严重的地方，用实际行动证明战斗力、影响力、凝聚力、向心力，让人民群众看到高高飘扬的党旗，看到党旗所起到的率先引领作用。 °罗志军向全省广大党员发出号召：把党旗插在受... ????????
88,#江苏盐城龙卷风冰雹#【大爱阜宁！为灾区人民“加油”，献血点挤满爱心群众】阜宁县人民医院旁边的爱心献血点，仅仅20平米的屋子挤满了前来献血的市民，队伍一直到马路对面，很多人都是天不亮就起床。从早上7点开始到10点，约有60多名志愿者献出了各种血型血液15000多毫升献血地址↓（江苏新闻） ????????
89,#江苏盐城龙卷风冰雹#为阜宁祈福，我们与你同在！（图via江苏新闻） ????????
90,#江苏盐城龙卷风冰雹#【习近平对江苏盐城龙卷风冰雹特别重大灾害作出重要指示 要求全力组织抢救受伤人员 最大限度减少人员伤亡 李克强就抢险救灾和灾害防范工作作出批示】6月23日14时许，盐城市阜宁县、射阳县部分地区突发龙卷风冰雹严重灾害，多个乡镇受灾，造成大量民房、厂房、学校教室倒塌，部分 ????????...展开全文c
91,#江苏盐城龙卷风冰雹#灾害发生后，省委书记罗志军和省长石泰峰作出指示，要求全力抢救伤员，妥善处理好死亡人员善后，最大限度减少人员伤亡。迅速组织抢险救灾队伍进行救助，确保受灾群众正常生活。加强对极端天气的预警预报，减少因自然灾害造成的损失。罗志军、石泰峰第一时间赶赴现场指导救灾工作。 ????????
92,#即时关注#【关于阜宁射阳等地区发生龙卷风冰雹严重灾害的情况通报】23日下午2点30左右，盐城阜宁、射阳部分地区出现强雷电、短时降雨、冰雹、雷雨大风等强对流天气，造成房屋倒塌、人员伤亡、道路受阻、设施农业受损等灾害。截止23日19点，已有51人死亡，多人受伤，具体灾情正在进一步核实中。省委罗 ????????...展开全文c
93,#醉美盐城#【“一线入党”企业家李进勇当选“江苏好人”】日前，从省文明委获悉，无偿投入近20万元，全力参与6??23特大龙卷风袭击抗灾救援行动，并在一线实现多年入党夙愿的盐城市安顺起重安装有限公司董事长李进勇，光荣当选今年6月份“江苏好人”。 ????????
94,#黄海潮声#【江苏部署盐城救灾款物跟踪审计 确保有效使用】为贯彻省委、省政府关于加强对救灾款物监管的要求，确保“6??23”盐城龙卷风冰雹特别重大灾害救灾款物规范募集、有效使用，回应社会关切，省审计厅27日部署开展盐城龙卷风冰雹特别重大灾害救灾款物跟踪审计，要求全省各级审计机关高度重视，全 ????????...展开全文c
95,【盐城纪委：严肃查处借抗灾救灾违纪违规行为】“对借抗灾救灾之机贪污、截留、挤占、挪用、私分资金物资等损害群众利益的违纪行为，发现一起，查处一起，决不姑息。”江苏盐城阜宁、射阳等部分地区发生龙卷风、冰雹特大灾害后，盐城市纪委发出紧急通知，要求各级纪检监察机关强化监督执纪问责，严肃查 ????????...展开全文c
